Date	Pages	Content	Words
1/5/2016	24	7	0
1/6/2016	25	8	0
1/7/2016	26	9	0
1/8/2016	27	10	0
1/9/2016	28	11	0
1/10/2016	29	12	0
1/11/2016	30	13	1300
1/12/2016	31	14	575
1/13/2016	32	15	0
1/14/2016	33	16	542
1/15/2016	34	17	230
1/16/2016	35	18	0
1/17/2016	36	19	0
1/18/2016	37	20	0
1/19/2016	38	21	868
1/20/2016	39	22	676
1/21/2016	40	23	1057
1/22/2016	41	24	0
1/23/2016	42	25	0
1/24/2016	43	26	0
1/25/2016	44	27	890
1/26/2016	45	28	2945
1/27/2016	46	29	831
1/28/2016	47	30	1019
1/29/2016	48	31	610
1/30/2016	49	32	0
1/31/2016	50	33	0
2/1/2016	51	34	1100
2/2/2016	52	35	1474
2/3/2016	53	36	654
2/4/2016	54	37	902
2/5/2016	55	38	748
2/6/2016	56	39	0
2/7/2016	57	40	0
2/8/2016	58	41	750
2/9/2016	59	42	587
2/10/2016	60	43	586
2/11/2016	61	44	969
2/12/2016	62	45	606
2/13/2016	63	46	0
2/14/2016	64	47	0
2/15/2016	65	48	0
2/16/2016	66	49	0
2/17/2016	67	50	0
2/18/2016	68	51	0
2/19/2016	69	52	0
2/20/2016	70	53	0
2/21/2016	71	54	0
2/22/2016	72	55	0
2/23/2016	73	56	0
2/24/2016	74	57	0
2/25/2016	75	58	0
2/26/2016	76	59	0
2/27/2016	77	60	0
2/28/2016	78	61	0
2/29/2016	79	62	0
3/1/2016	80	63	614
3/2/2016	81	64	0
3/3/2016	82	65	0
3/4/2016	83	66	0
3/5/2016	84	67	0
3/6/2016	85	68	0
3/7/2016	86	69	407
3/8/2016	89	71	904
